id,product_name,price,category,availability,description,img_primary,img_secondary,url
p1,Baby Soap 100g,5,baby  care ,no,"A creamy natural cleanser enriched with Virgin Coconut, Rice Bran, Almond & Moringa to moisturise, nourish & soften delicate skin. Pure Mango Butter & Kokum Butters help hydrate, protect & fortify natural balance, while fresh Aloe Vera & Calendula help cool & comfort.",Baby Soap 100g_primary.jpg,Baby Soap 100g_secondary.jpg,https://store.spaceylon.com/product/baby-soap-100g/
p2,Baby Eau De Ceylon 100ml,19,baby  care  ,no,"A soft, breezy cologne evoking the soothing freshness of Ceylonese Citrus fruits, floral blossoms & rainforest herbs. The delicate island water is infused with an allergen-free aromatic blend, combining Lavender, Rose Geranium, Neroli & Ylang Ylang to help calm & comfort the senses, promoting natural relaxation.
* Dermatologically Tested
* Pure & Gentle",Baby Eau De Ceylon 100ml_primary.jpg,Baby Eau De Ceylon 100ml_secondary.jpg,https://store.spaceylon.com/product/baby-eau-de-ceylon-100ml/
p3,Baby Soothing Aloe Gel 250Ml,19,baby  care  ,no,"A light gel infused with naturally hydrating fresh Aloe Vera, to effectively soothe & care for delicate skin & hair. Pure Witch Hazel combines with Calendula & Apricot to comfort & protect from head-to-toe, protecting against dryness, environment & minor irritations. The allergen-free aromatic blend is infused with Lavender, Rose Geranium, Neroli & Ylang Ylang to help calm & comfort the senses, promoting natural relaxation.
* Dermatologically Tested
* Pure & Gentle",Baby Soothing Aloe Gel 250Ml_primary.jpg,Baby Soothing Aloe Gel 250Ml_secondary.jpg,https://store.spaceylon.com/product/baby-soothing-aloe-gel-250ml/
p4,Baby Shampoo 250ml,19,baby  care  ,no,"A light natural formula that is gentle for the eyes. Infused with Aloe Vera, Calendula & Mango to remove impurities & softly cleanse delicate hair & scalp. Virgin Coconut, Sweet Almond, & Sunflower help hydrate & fortify natural scalp balance, leaving hair soft & silky. The allergen-free aromatic blend is infused with Lavender, Rose Geranium, Neroli & Ylang Ylang to help calm & comfort the senses, promoting natural relaxation.
* Dermatologically Tested
* Pure & Gentle",Baby Shampoo 250ml_primary.jpg,Baby Shampoo 250ml_secondary.jpg,https://store.spaceylon.com/product/baby-shampoo-250ml/
p5,Baby Wash 250ml,19,baby  care  ,no,"A light natural formula, infused with Aloe Vera, Licorice & Calendula to gently, yet effectively remove impurities & cleanse delicate skin. Virgin Coconut, Sweet Almond, & Sunflower help soothe & hydrate, leaving skin soft & fresh. The allergen-free aromatic blend is infused with Lavender, Rose Geranium, Neroli & Ylang Ylang to help calm & comfort the senses, promoting natural relaxation.
* Dermatologically Tested
* Pure & Gentle",Baby Wash 250ml_primary.jpg,Baby Wash 250ml_secondary.jpg,https://store.spaceylon.com/product/baby-wash-250ml/
p6,Skin-Balance â€“ Moringa Herb â€“ Discolouration Treatment Serum â€“ 60ml,26,skin care  night serums & treatments,yes,"Best for blemished, blotchy & uneven skin & problem skin that seeks soothing balance, freshness & new radiance",,,https://store.spaceylon.com/product/skin-balance-moringa-herb-discolouration-treatment-serum-60ml/
p7,Sal & Saffron â€“ Vitamin E Rich â€“ Skin Care Set,35,skin care  gifts,yes,Description not available,Sal & Saffron â€“ Vitamin E Rich â€“ Skin Care Set_primary.jpg,Sal & Saffron â€“ Vitamin E Rich â€“ Skin Care Set_secondary.jpg,https://store.spaceylon.com/product/sal-saffron-vitamin-e-rich-skin-care-set/
p8,Sal & Saffron â€“ Vitamin E Rich â€“ Eye Zone â€“ Day & Night Treatment Concentrate â€“ 20ml,18,skin care  sal & saffron,no,"A powerful targeted treatment infused with nourishing Sal Butter & precious Saffron to help soothe & protect skin around & under the eyes, defending against visible signs of skin ageing.",Sal & Saffron â€“ Vitamin E Rich â€“ Eye Zone â€“ Day & Night Treatment Concentrate â€“ 20ml_primary.jpg,Sal & Saffron â€“ Vitamin E Rich â€“ Eye Zone â€“ Day & Night Treatment Concentrate â€“ 20ml_secondary.jpg,https://store.spaceylon.com/product/sal-saffron-vitamin-e-rich-eye-zone-day-night-treatment-concentrate-20ml/
p9,Sal & Saffron â€“ 2-in-1 Deep Cleanser + Facial Treatment Masque 100ml,21,skin care  sal & saffron,no,"A purifying & hydrating dual-active formula infused with nourishing Sal Butter & precious Saffron to instantly deep cleanse skin, dissolving make-up, removing daily grime & pollutants.",Sal & Saffron â€“ 2-in-1 Deep Cleanser + Facial Treatment Masque 100ml_primary.jpg,Sal & Saffron â€“ 2-in-1 Deep Cleanser + Facial Treatment Masque 100ml_secondary.jpg,https://store.spaceylon.com/product/sal-saffron-2-in-1-deep-cleanser-facial-treatment-masque-100ml/
p10,Sal & Saffron â€“ Vitamin E Rich â€“ Facial Cleansing Foam â€“ 150ml,21,skin care  sal & saffron,no,Description not available,Sal & Saffron â€“ Vitamin E Rich â€“ Facial Cleansing Foam â€“ 150ml_primary.jpg,Sal & Saffron â€“ Vitamin E Rich â€“ Facial Cleansing Foam â€“ 150ml_secondary.jpg,https://store.spaceylon.com/product/sal-saffron-vitamin-e-rich-facial-cleansing-foam-150ml-2/
p11,Sal & Saffron â€“ Vitamin E Rich â€“ Ultra-Hydrating Facial Treatment Gel â€“ 60ml,22,skin care  face care,no,"A fast-action extra-potent wonder blend infused with nourishing Sal Butter & precious Saffron to instantly deep-hydrate, soothe dryness, minimize appearance of pores & add a more visibly youthful glow to skin.",Sal & Saffron â€“ Vitamin E Rich â€“ Ultra-Hydrating Facial Treatment Gel â€“ 60ml_primary.jpg,Sal & Saffron â€“ Vitamin E Rich â€“ Ultra-Hydrating Facial Treatment Gel â€“ 60ml_secondary.jpg,https://store.spaceylon.com/product/ultra-hydrating-facial-treatment-gel-sal-saffron-60ml/
p12,Sal & Saffron â€“ Vitamin E Rich â€“ Glow Activating Day Facial Protector â€“ 100g,22,skin care  sal & saffron,no,"A light, fast-absorbent blend of nourishing Sal Butter & precious Saffron, to soothe & control dryness, while keep skin looking fresh & matte throughout the day.",Sal & Saffron â€“ Vitamin E Rich â€“ Glow Activating Day Facial Protector â€“ 100g_primary.jpg,Sal & Saffron â€“ Vitamin E Rich â€“ Glow Activating Day Facial Protector â€“ 100g_secondary.jpg,https://store.spaceylon.com/product/glow-activating-day-facial-protector-sal-saffron-100g/
p13,Sal & Saffron â€“ Vitamin E Rich â€“ Delicate Creme Facial Exfoliator â€“ 100g,21,skin care  face care,yes,"A gentle purifying blend infused with nourishing Sal Butter & precious Saffron to help clear clogged pores, take away rough patches & renew skin.",Sal & Saffron â€“ Vitamin E Rich â€“ Delicate Creme Facial Exfoliator â€“ 100g_primary.jpg,Sal & Saffron â€“ Vitamin E Rich â€“ Delicate Creme Facial Exfoliator â€“ 100g_secondary.jpg,https://store.spaceylon.com/product/delicate-creme-facial-exfoliator-sal-saffron-100g/
p14,Sal & Saffron â€“ Vitamin E Rich â€“ Ultra-Nourishing Rich Facial Cream â€“ 100g,26,skin care  sal & saffron,no,"A rich & creamy deep-penetrating treatment infused with nourishing Sal Butter & precious Saffron to soothe, calm & comfort skin, helping to prevent dryness, rough patches & signs of premature ageing.",Sal & Saffron â€“ Vitamin E Rich â€“ Ultra-Nourishing Rich Facial Cream â€“ 100g_primary.jpg,Sal & Saffron â€“ Vitamin E Rich â€“ Ultra-Nourishing Rich Facial Cream â€“ 100g_secondary.jpg,https://store.spaceylon.com/product/ultra-nourishing-rich-facial-cream-sal-saffron-100g/
p15,Skin Smooth Bakuchiol â€“ Retinol Alternative Age Refining Day & Night Facial Serum â€“ 30ml,33,skin care  skin wellness,yes,"Traditionally referred to as Babchi Flower in Ayurveda, this natural active helps renew collagen, even-out skin tone, improve elasticity & promote plumper, firmer skin feel.",Skin Smooth Bakuchiol â€“ Retinol Alternative Age Refining Day & Night Facial Serum â€“ 30ml_primary.jpg,Skin Smooth Bakuchiol â€“ Retinol Alternative Age Refining Day & Night Facial Serum â€“ 30ml_secondary.jpg,https://store.spaceylon.com/product/skin-smooth-bakuchiol-retinol-alternative-age-refining-day-night-facial-serum-30ml/
p16,Ceylon Coffee & Cocoa Lip Balm â€“ 10g,13,skin care  lip balms,yes,Description not available,Ceylon Coffee & Cocoa Lip Balm â€“ 10g_primary.jpg,Ceylon Coffee & Cocoa Lip Balm â€“ 10g_secondary.jpg,https://store.spaceylon.com/product/ceylon-coffee-cocoa-lip-balm-10g/
p17,Ceylon Grapefruit & Rice Lip Balm â€“ 10g,13,skin care  lip balms,yes,Description not available,Ceylon Grapefruit & Rice Lip Balm â€“ 10g_primary.jpg,Ceylon Grapefruit & Rice Lip Balm â€“ 10g_secondary.jpg,https://store.spaceylon.com/product/ceylon-grapefruit-rice-lip-balm-10g/
p18,Ceylon Lime & Avocado Lip Balm -10g,13,skin care  lip balms,no,Description not available,Ceylon Lime & Avocado Lip Balm -10g_primary.jpg,Ceylon Lime & Avocado Lip Balm -10g_secondary.jpg,https://store.spaceylon.com/product/ceylon-orange-avocado-lip-balm-10g/
p19,White Rice â€“ Age Control Facial Cleansing Milk â€“ White Rice â€“ 100ml,27,skin care  cleanser,no,"An advanced purifying formula blended with pure Rice Bran Oil â€“ rich in naturally anti-oxidant & youth-giving Gamma Oryzanol. Virgin Coconut & Olive help dissolve impurities & effectively remove make-up, while deep cleansing & hydrating skin.",White Rice â€“ Age Control Facial Cleansing Milk â€“ White Rice â€“ 100ml_primary.jpg,White Rice â€“ Age Control Facial Cleansing Milk â€“ White Rice â€“ 100ml_secondary.jpg,https://store.spaceylon.com/product/white-rice-age-control-facial-cleansing-milk-white-rice-100ml/
p20,Virgin Coconut â€“ Extra Gentle Micellar Water Facial Cleanser â€“ 100ml,26,skin care  cleanser,no,"An advanced one-step make-up removing & skin cleansing formula blended with pure Virgin Coconut water â€“ freshly harvested at source in Ceylon. Gently, yet efficiently wipes away even waterproof make-up & impurities from the face, eyelids & lips, without over-drying. Rice Bran, Moringa & Margosa help skin feel soft, soothed & refreshed.",Virgin Coconut â€“ Extra Gentle Micellar Water Facial Cleanser â€“ 100ml_primary.jpg,Virgin Coconut â€“ Extra Gentle Micellar Water Facial Cleanser â€“ 100ml_secondary.jpg,https://store.spaceylon.com/product/virgin-coconut-extra-gentle-micellar-water-facial-cleanser-100ml/
p21,Skin Destress â€“ Ashwagandha Advanced Anti-Pollution Day Face Essence â€“ 30ml,31,skin care  day serum & treatments,yes,"A lightweight finishing essence infused with powerful Ayurveda WonderHerbs to create an instant barrier against harsh-pollutants and harmful blue light. Precious Arnica, Calendula & Witch Hazel help soothe & comfort skin, strengthening balance. Rice Bran & natural pro-biotics help intensely hydrate, nourish & lock-in moisture, promoting a smoother, more rested skin-feel.
Best for tired, puffy & mature skin, & stressed skin that seeks comforting protection against the elements & urban pollution.",Skin Destress â€“ Ashwagandha Advanced Anti-Pollution Day Face Essence â€“ 30ml_primary.jpg,Skin Destress â€“ Ashwagandha Advanced Anti-Pollution Day Face Essence â€“ 30ml_secondary.jpg,https://store.spaceylon.com/product/skin-destress-ashwagandha-advanced-anti-pollution-day-face-essence-30ml/
p22,Skin Sleep â€“ Tamarind Seed Advanced Lifting & Revitalising Night Face Serum 30ml,40,skin care  day serum & treatments,yes,"A powerful night-renewal treatment infused with naturally rejuvenating Ayurveda WonderHerbs. Precious Arnica, Calendula & Witch Hazel help soothe & restore skin, strengthening balance.",Skin Sleep â€“ Tamarind Seed Advanced Lifting & Revitalising Night Face Serum 30ml_primary.jpg,Skin Sleep â€“ Tamarind Seed Advanced Lifting & Revitalising Night Face Serum 30ml_secondary.jpg,https://store.spaceylon.com/product/skin-sleep-tamarind-seed-advanced-lifting-revitalising-night-face-serum-30ml/
p23,White Jasmine â€“ Illuminating Facial Protector 100g,31,skin care  moisturiser / day creams,yes,"A fast-absorbent multi-protective formula with precious Jasmine & intensely hydrating Beetroot actives to deep-moisturise, nourish, brighten & illuminate skin. Enriched with triple UV sunscreens to protect skin from the harmful rays of the sun, while natural minerals help keep skin looking fresh, for longer.",White Jasmine â€“ Illuminating Facial Protector 100g_primary.jpg,White Jasmine â€“ Illuminating Facial Protector 100g_secondary.jpg,https://store.spaceylon.com/product/white-jasmine-illuminating-facial-protector-100g/
p24,White Rose â€“ Ultra Light Comforting Facial Moisturiser 60ml,26,skin care  moisturiser / day creams,yes,"An extra-light formula with pure Rose Water to hydrate & comfort skin, preserving natural balance. Virgin Coconut combines with Aloe Vera to help gently soothe & nourish skin, without excessive oiliness.",White Rose â€“ Ultra Light Comforting Facial Moisturiser 60ml_primary.jpg,White Rose â€“ Ultra Light Comforting Facial Moisturiser 60ml_secondary.jpg,https://store.spaceylon.com/product/white-rose-ultra-light-comforting-facial-moisturiser-60ml/
p25,True Turmeric â€“ Vitamin C Glow â€“ Facial Cleansing Foam 150ml,26,skin care  best sellers,yes,"A soft-foaming formula infused with True Turmeric & powerful Ayurveda WonderHerbs to deep cleanse & purify skin, taking away dullness & imperfections.",True Turmeric â€“ Vitamin C Glow â€“ Facial Cleansing Foam 150ml_primary.jpg,True Turmeric â€“ Vitamin C Glow â€“ Facial Cleansing Foam 150ml_secondary.jpg,https://store.spaceylon.com/product/true-turmeric-vitamin-c-glow-facial-cleansing-foam-150ml/
p26,True Turmeric â€“ Vitamin C Glow â€“ Renewing All-Day Protector 100g,31,skin care  moisturiser / day creams,no,"A fast-absorbent blend of Ayurveda WonderHerbs infused with calming, anti-oxidant & fortifying Turmeric, Rice Bran & Marigold, to help minimise dark patches, take-away dullness & control imperfections.",True Turmeric â€“ Vitamin C Glow â€“ Renewing All-Day Protector 100g_primary.jpg,True Turmeric â€“ Vitamin C Glow â€“ Renewing All-Day Protector 100g_secondary.jpg,https://store.spaceylon.com/product/true-turmeric-vitamin-c-glow-renewing-all-day-protector-100g/
p27,True Turmeric â€“ Vitamin C Glow â€“ Renewing Treatment Serum 30ml,37,skin care  day serum & treatments,yes,"A powerful overnight repair treatment infused with Ayurveda WonderHerbs & anti-oxidant, healing & calming Turmeric to help minimize dark patches, take-off dullness & control imperfections.",True Turmeric â€“ Vitamin C Glow â€“ Renewing Treatment Serum 30ml_primary.jpg,True Turmeric â€“ Vitamin C Glow â€“ Renewing Treatment Serum 30ml_secondary.jpg,https://store.spaceylon.com/product/true-turmeric-vitamin-c-glow-renewing-treatment-serum-30ml/
p28,True Turmeric â€“ Vitamin C Glow â€“ Exfoliating Clay Facial Masque 200g,42,skin care  facial exfoliator,yes,"A powerful blend of Ayurveda WonderHerbs infused with anti-oxidant, healing & calming Turmeric to intensely purify & energise skin. Virgin Coconut & Sweet Almond help instantly deep cleanse skin, dissolving make-up, daily grime & pollutants.",True Turmeric â€“ Vitamin C Glow â€“ Exfoliating Clay Facial Masque 200g_primary.jpg,True Turmeric â€“ Vitamin C Glow â€“ Exfoliating Clay Facial Masque 200g_secondary.jpg,https://store.spaceylon.com/product/true-turmeric-vitamin-c-glow-exfoliating-clay-facial-masque-200g/
